Ref_tRNA,Genome,Count_Type,Trt,Acid_Phenol,Trizol
nuclear-Ath-LeuCAA-171789,Nuclear,Non-CC/CCA,Control,0.373905994,0.351088992
nuclear-Ath-LeuCAA-171789,Nuclear,Non-CC/CCA,Periodate Oxidation,0.666286316,0.643209758
nuclear-Ath-LeuCAA-171787,Nuclear,CCA,Control,0.757805222,0.777002493
nuclear-Ath-LeuCAA-171787,Nuclear,CCA,Periodate Oxidation,0.512309694,0.584474641
nuclear-Ath-LeuCAA-171787,Nuclear,Non-CC/CCA,Control,0.404620194,0.372153021
nuclear-Ath-LeuCAA-171787,Nuclear,Non-CC/CCA,Periodate Oxidation,0.667464274,0.639774704
nuclear-Ath-LeuCAA-171786,Nuclear,CCA,Control,0.710629387,0.743056399
nuclear-Ath-LeuCAA-171786,Nuclear,CCA,Periodate Oxidation,0.464026316,0.538370625
nuclear-Ath-LeuCAA-171786,Nuclear,Non-CC/CCA,Control,0.370009021,0.347067188
nuclear-Ath-LeuCAA-171786,Nuclear,Non-CC/CCA,Periodate Oxidation,0.643834372,0.61867339
nuclear-Ath-LeuAAG-171817,Nuclear,CCA,Control,0.735832803,0.7637261
nuclear-Ath-LeuAAG-171817,Nuclear,CCA,Periodate Oxidation,0.531129713,0.562214176
nuclear-Ath-LeuAAG-171817,Nuclear,Non-CC/CCA,Control,0.572069369,0.557725184
nuclear-Ath-LeuAAG-171817,Nuclear,Non-CC/CCA,Periodate Oxidation,0.673730622,0.675951924
nuclear-Ath-LeuAAG-171816,Nuclear,CCA,Control,0.736074026,0.7649012
nuclear-Ath-LeuAAG-171816,Nuclear,CCA,Periodate Oxidation,0.535381242,0.567668782
nuclear-Ath-LeuAAG-171816,Nuclear,Non-CC/CCA,Control,0.574146297,0.55887736
nuclear-Ath-LeuAAG-171816,Nuclear,Non-CC/CCA,Periodate Oxidation,0.675940773,0.679197729
nuclear-Ath-iMetCAT-171659,Nuclear,CCA,Control,0.669186334,0.765914662
nuclear-Ath-iMetCAT-171659,Nuclear,CCA,Periodate Oxidation,0.454931973,0.489250501
nuclear-Ath-iMetCAT-171659,Nuclear,Non-CC/CCA,Control,0.564093882,0.523650619
nuclear-Ath-iMetCAT-171659,Nuclear,Non-CC/CCA,Periodate Oxidation,0.713837825,0.695990854
nuclear-Ath-IleTAT-171764,Nuclear,CCA,Control,0.68757503,0.703306014
nuclear-Ath-IleTAT-171764,Nuclear,CCA,Periodate Oxidation,0.457151237,0.487107522
nuclear-Ath-IleTAT-171764,Nuclear,Non-CC/CCA,Control,0.517901006,0.52280419
nuclear-Ath-IleTAT-171764,Nuclear,Non-CC/CCA,Periodate Oxidation,0.666335859,0.661040394
nuclear-Ath-IleTAT-171721,Nuclear,CCA,Control,0.631851061,0.668282411
nuclear-Ath-IleTAT-171721,Nuclear,CCA,Periodate Oxidation,0.447189352,0.460069894
nuclear-Ath-IleTAT-171721,Nuclear,Non-CC/CCA,Control,0.351474105,0.363141279
nuclear-Ath-IleTAT-171721,Nuclear,Non-CC/CCA,Periodate Oxidation,0.633548623,0.671817889
nuclear-Ath-IleAAT-171736,Nuclear,CCA,Control,0.670731014,0.702258512
nuclear-Ath-IleAAT-171736,Nuclear,CCA,Periodate Oxidation,0.428390264,0.468412944
nuclear-Ath-IleAAT-171736,Nuclear,Non-CC/CCA,Control,0.645237151,0.655523707
nuclear-Ath-IleAAT-171736,Nuclear,Non-CC/CCA,Periodate Oxidation,0.772189338,0.771571218
nuclear-Ath-IleAAT-171735,Nuclear,CCA,Control,0.704338953,0.743147313
nuclear-Ath-IleAAT-171735,Nuclear,CCA,Periodate Oxidation,0.465375299,0.501643751
nuclear-Ath-IleAAT-171735,Nuclear,Non-CC/CCA,Control,0.60286447,0.610941385
nuclear-Ath-IleAAT-171735,Nuclear,Non-CC/CCA,Periodate Oxidation,0.752543079,0.751238426
nuclear-Ath-HisGTG-183748,Nuclear,CCA,Control,0.675829921,0.662641386
nuclear-Ath-HisGTG-183748,Nuclear,CCA,Periodate Oxidation,0.340114987,0.438602543
nuclear-Ath-HisGTG-183748,Nuclear,Non-CC/CCA,Control,0.348638955,0.380243197
nuclear-Ath-HisGTG-183748,Nuclear,Non-CC/CCA,Periodate Oxidation,0.618969124,0.633383204
nuclear-Ath-HisGTG-183747,Nuclear,CCA,Control,0.750630854,0.761335994
